id_player,passing_accuracy(%),passes_attempted,passes_completed,crossing_accuracy(%),crosses_attempted,crosses_completed,free_kick_taken,matches_appearance
250153617,100,26,26,0,0,0,2,1
250050416,100,19,19,0,0,0,0,1
250089626,100,18,18,0,0,0,0,3
250138626,100,17,17,0,0,0,0,1
1902445,100,14,14,0,0,0,0,1
250169763,100,10,10,0,0,0,0,2
250190378,100,9,9,0,0,0,0,1
250193442,100,8,8,0,0,0,1,1
250133903,100,7,7,0,0,0,0,2
250182794,100,6,6,0,0,0,0,2
250176477,100,6,6,0,0,0,0,1
250106789,100,5,5,0,1,0,0,1
250022366,100,5,5,0,0,0,1,1
250176187,100,5,5,0,0,0,0,1
250128943,100,5,5,0,0,0,0,1
250087431,100,5,5,0,0,0,0,1
250199913,100,3,3,0,1,0,1,1
250104101,100,3,3,0,0,0,0,1
250187793,100,3,3,0,0,0,0,1
250138999,100,3,3,0,0,0,0,1
250128391,100,3,3,0,0,0,0,1
250189107,100,3,3,0,0,0,0,1
250154309,100,3,3,0,0,0,0,1
250180059,100,2,2,0,0,0,1,1
250176485,100,2,2,0,0,0,0,1
250165221,100,2,2,0,0,0,0,1
250054393,100,2,2,0,0,0,0,1
250172594,100,2,2,0,0,0,0,1
250174602,100,1,1,0,0,0,0,1
250090398,100,1,1,0,0,0,0,1
250086709,99,55,54,0,2,0,2,3
250132195,97.75,100,92,22.23,9,2,0,4
250064233,97.5,188,184,0,1,0,1,2
250182606,97.5,68,65,100,1,1,3,2
250200308,97.4,318,309,0,0,0,4,5
250162325,97.2,416,407,0,1,0,2,5
250027008,97,154,149,0,1,0,1,2
250132322,97,70,66,0,0,0,1,2
250136445,97,30,29,0,0,0,1,1
250028705,96.5,47,45,0,0,0,0,2
250055660,96.4,366,354,50,2,1,3,5
250139101,96.34,17,16,66.67,3,2,3,3
250122983,96.2,362,348,0,1,0,2,5
250094540,96,333,319,0,0,0,4,3
250023551,96,119,114,0,0,0,1,2
250114167,96,68,65,0,2,0,0,4
250089688,96,49,47,0,0,0,1,1
250176491,96,24,23,0,0,0,1,1
250129446,95.75,220,209,0,0,0,5,4
250085369,95.6,420,400,0,0,0,4,5
250163777,95.5,161,155,0,1,0,1,2
250089824,95.5,34,32,0,0,0,0,2
250058220,95.34,145,138,0,0,0,4,3
250194573,95.34,15,14,0,0,0,0,3
50327423,95.25,100,96,0,0,0,0,4
250017040,95.2,302,289,0,0,0,9,5
250079677,95,206,195,0,0,0,4,4
250041781,95,168,161,0,1,0,1,2
250014636,95,143,132,15.39,13,2,8,3
250163186,95,29,25,100,1,1,0,4
250064064,94.8,424,406,0,1,0,7,5
250067630,94.6,397,377,0,1,0,9,5
250112803,94.6,153,146,0,1,0,5,5
50327420,94.4,378,357,0,0,0,10,5
250010223,94.34,54,50,33.34,3,1,0,3
250172907,94.25,236,222,0,0,0,4,4
250089225,94.25,170,160,0,0,0,2,4
250128270,94.25,112,106,50,2,1,3,4
250196709,94.2,371,350,0,4,0,24,5
250189506,94.2,354,334,0,0,0,5,5
250121218,94.2,350,331,0,0,0,13,5
250121294,94.2,227,213,0,3,0,9,5
250174126,94,443,423,0,0,0,6,5
250079545,94,375,353,0,1,0,4,5
250005335,94,316,296,30.77,13,4,5,5
250101444,94,311,292,55.56,9,5,9,5
250101284,94,215,200,0,3,0,7,5
250169685,94,168,159,0,0,0,2,4
250091198,94,156,148,0,0,0,3,3
250105244,94,137,127,0,1,0,4,4
250172062,94,16,15,0,0,0,0,1
250127024,94,16,15,0,0,0,0,1
250028211,93.8,272,255,0,0,0,8,5
250066747,93.75,217,203,50,4,2,10,4
250155799,93.75,130,122,0,0,0,3,4
250067295,93.67,133,126,0,0,0,2,3
250039931,93.67,102,96,0,1,0,3,3
250113103,93.4,149,141,0,0,0,3,5
250058215,93.34,18,17,0,1,0,1,3
