id_player,total_attempts,attempts_on_target,attempts_off_target,blocked
250103758,29,14,7,8
250076574,25,13,5,7
250016833,21,12,6,3
250121533,18,11,6,1
250139445,18,11,5,2
250105927,21,10,7,4
250080553,16,10,5,1
250130406,21,9,7,5
250124430,18,9,3,6
250144965,15,9,4,2
250106939,14,9,1,4
250101534,19,8,6,5
250002096,17,8,5,4
250096849,13,8,2,3
250078012,13,8,2,3
250117705,11,8,3,0
250088061,18,7,7,4
250118964,17,7,6,4
250171184,17,7,3,7
250183519,16,7,5,4
1905153,16,7,3,6
250124460,15,7,5,3
250134320,15,7,4,4
250176450,15,7,3,5
250102035,14,7,5,2
250099180,14,7,5,2
250121294,14,7,2,5
250042422,14,7,2,5
250138382,14,7,1,6
250127111,12,7,3,2
250096698,10,7,1,2
250089228,9,7,0,2
250112880,23,6,10,7
250052469,19,6,9,4
250099258,16,6,7,3
250146674,11,6,3,2
250063984,11,6,3,2
250132811,10,6,2,2
250164780,9,6,3,0
250041770,8,6,2,0
250187620,8,6,0,2
250066886,21,5,7,9
250177886,15,5,10,0
250019498,13,5,6,2
250153402,13,5,5,3
250005343,13,5,5,3
250160436,13,5,4,4
250194673,13,5,4,4
250005335,13,5,3,5
250162865,12,5,4,3
250105717,12,5,3,4
250112186,12,5,2,5
250123677,11,5,4,2
250091165,11,5,4,2
250064274,10,5,4,1
250099671,10,5,3,2
250134138,9,5,3,1
250081555,9,5,3,1
250124849,9,5,1,3
250127347,7,5,2,0
250118281,6,5,0,1
250096954,16,4,5,7
250079383,15,4,6,5
250126449,13,4,7,2
250171301,12,4,4,4
250064446,11,4,5,2
250172668,11,4,4,3
250134304,10,4,4,2
250097638,10,4,3,3
250087938,10,4,3,3
250081223,10,4,2,4
250141861,9,4,5,0
250159544,9,4,4,1
250130414,9,4,1,4
250169706,8,4,4,0
250196712,8,4,3,1
250156459,8,4,3,1
250049573,8,4,3,1
250061361,8,4,2,2
250112217,8,4,1,3
250106649,8,4,0,4
250113373,7,4,3,0
250129746,7,4,2,1
250070417,7,4,2,1
250091187,7,4,2,1
250127540,7,4,1,2
250089289,7,4,1,2
250134856,5,4,1,0
250198119,5,4,0,1
250088320,5,4,0,1
250177879,4,4,0,0
250169705,12,3,8,1
250164991,10,3,7,0
250023009,10,3,7,0
250128377,10,3,4,3
250132407,9,3,6,0
250173126,9,3,5,1
250086315,9,3,4,2
250058258,9,3,3,3
250112400,9,3,3,3
250163400,9,3,2,4
250022829,9,3,2,4
250078593,8,3,4,1
250118504,8,3,3,2
250167111,8,3,2,3
250117405,8,3,2,3
250104066,7,3,3,1
250067629,7,3,3,1
250113211,7,3,2,2
250187759,7,3,1,3
250134536,7,3,1,3
250123695,7,3,1,3
250106969,7,3,1,3
250200298,7,3,0,4
250121584,6,3,2,1
250172672,6,3,2,1
250147342,6,3,2,1
250135339,6,3,2,1
250196588,6,3,1,2
250139207,6,3,1,2
250115436,6,3,1,2
250079677,6,3,0,3
250102868,5,3,2,0
250130234,5,3,1,1
250106148,5,3,1,1
250145803,5,3,1,1
250135615,5,3,1,1
250146610,5,3,0,2
250118797,5,3,0,2
250029318,4,3,1,0
250170117,4,3,1,0
250079003,4,3,0,1
250116904,4,3,0,1
250101723,3,3,0,0
250091828,3,3,0,0
250040521,3,3,0,0
