id_player,balls_recovered,tackles,tackles_won,tackles_lost,clearance_attempted
250174126,62,4,1,3,13
250188247,53,6,2,4,22
250016616,45,15,9,6,38
250188511,45,7,5,2,14
250162325,44,6,5,1,17
250139010,44,5,1,4,18
250017040,43,13,6,7,35
250019573,43,9,4,5,23
250064064,43,4,4,0,15
250174149,43,3,3,0,13
250089225,42,19,10,9,7
250068808,42,12,4,8,17
250025791,41,17,8,9,9
250196586,41,15,12,3,38
250014709,41,12,6,6,9
250087118,41,11,9,2,28
250079545,40,12,8,4,8
250169730,39,12,6,6,12
250158476,39,4,2,2,23
104733,38,11,8,3,27
250117410,38,8,4,4,21
250000679,38,7,5,2,33
250127439,38,5,3,2,17
250058258,37,15,4,11,7
250121218,37,3,0,3,18
250113001,36,11,6,5,4
250055663,36,8,2,6,17
250076126,36,4,2,2,11
250077679,35,14,5,9,12
250063505,35,7,4,3,26
250163454,35,6,2,4,15
250158901,35,4,2,2,26
250129965,34,28,14,14,5
250132323,34,7,2,5,18
250123695,34,5,3,2,8
250085369,34,5,2,3,5
250187672,34,5,1,4,16
250127492,34,2,1,1,23
250090766,33,15,10,5,17
250116734,33,7,4,3,19
50327420,33,5,3,2,17
250200308,32,7,4,3,26
250189506,31,16,10,6,23
250134856,31,16,10,6,14
250065419,31,16,8,8,16
250091290,31,15,8,7,5
250028211,31,6,2,4,23
250096309,31,5,3,2,13
250079677,31,5,3,2,4
250131901,31,3,1,2,22
250196709,30,15,7,8,6
250123677,30,14,6,8,9
250196588,30,14,4,10,9
250101557,30,11,6,5,7
250129341,30,11,5,6,14
250004721,30,10,4,6,5
250023097,30,7,3,4,11
250088061,30,7,2,5,5
250092668,30,6,4,2,29
250181680,29,15,8,7,18
250053044,29,12,4,8,23
250153945,29,11,3,8,11
250004363,29,10,6,4,14
250130786,29,10,4,6,34
250176201,29,7,4,3,29
250014042,29,7,4,3,11
250131541,29,7,4,3,10
250124068,29,7,2,5,17
250051754,29,5,5,0,15
250076357,29,4,1,3,2
50327428,29,2,2,0,25
250103243,28,16,7,9,26
250136465,28,11,7,4,11
250145629,28,9,7,2,9
250022829,28,9,5,4,4
250172907,28,6,4,2,17
