id_player,distance_covered(km),top_speed(km/h),minutes_played,matches_appareance
250105927,62.96,34.55,540,6
250121294,68.64,33.67,540,6
250160436,67.42,33.39,540,6
250028211,58.17,32.8,540,6
250088061,66.39,36.55,540,6
250064188,71.22,29.99,540,6
250092668,60.68,32.74,540,6
250055663,58.37,32.48,540,6
250106969,67.52,31.57,540,6
250189506,67.2,32.14,540,6
50327420,55.84,34.92,540,6
250070417,75.14,32.23,540,6
250096309,66.33,32.29,540,6
250129965,71.14,29.93,540,6
250077679,66.56,33.66,540,6
250004363,65.65,32.41,540,6
250189363,64.26,32.14,540,6
250139207,66.08,32.53,540,6
250188247,62.47,32.9,540,6
250134856,61.05,32.85,540,6
250014042,76.13,32.48,540,6
250101557,70.07,31.36,540,6
250025791,69.77,30.17,540,6
250014709,68.58,33.14,540,6
250079545,66.02,34.27,540,6
250113001,65.62,31.7,540,6
250153945,65.32,33.31,540,6
250116734,65.3,33.62,540,6
250064444,65.04,33.81,540,6
250064064,64.74,33.04,540,6
250055660,64.19,33.8,540,6
250053044,63.31,32.27,540,6
250122983,63.2,34.51,540,6
250087118,62.88,33.46,540,6
250174126,62.54,33.81,540,6
250130786,62.0,33.29,540,6
250076126,61.12,34.79,540,6
250127439,59.98,32.79,540,6
250131541,59.93,33.03,540,6
250158476,58.55,33.27,540,6
250017040,58.4,30.16,540,6
250000679,58.33,33.73,540,6
250176201,58.04,31.16,540,6
250016616,56.9,31.92,540,6
250051754,52.04,32.08,540,6
250171278,37.82,27.59,540,6
250006714,32.62,26.53,540,6
98078,32.5,25.85,540,6
250105818,31.99,27.01,540,6
250063980,31.94,26.7,540,6
250087102,31.21,23.2,540,6
250121017,30.72,25.77,540,6
250012069,29.98,24.14,540,6
250124006,29.52,22.6,540,6
74954,29.16,23.98,540,6
250105612,28.93,29.6,540,6
250135068,28.75,24.81,540,6
102420,28.42,24.09,540,6
250157134,28.39,26.31,540,6
250040573,27.8,27.16,540,6
250113444,27.22,23.9,540,6
250085475,26.73,28.95,540,6
97746,24.01,24.37,540,6
250123695,66.7,31.3,539,6
250123677,68.46,33.97,534,6
250040471,62.35,31.45,534,6
250112217,69.52,30.95,534,6
250061721,55.88,33.96,534,6
250079003,69.87,31.21,533,6
250136465,58.63,35.36,533,6
250065419,68.23,33.18,533,6
250188511,61.66,31.68,532,6
250096954,49.45,35.55,531,6
250119181,71.06,32.68,529,6
104733,53.67,31.89,529,6
250090766,63.76,32.43,526,6
250112122,65.44,32.9,524,6
250134536,68.95,31.14,524,6
250068808,61.45,31.0,524,6
250042422,67.03,32.38,520,6
250101727,63.26,30.95,518,6
250163454,63.15,34.81,518,6
250130406,61.76,34.52,515,6
250108215,61.8,32.94,514,6
250162325,61.26,34.07,513,6
250052469,56.02,34.54,512,6
250161248,61.58,31.98,512,6
250118964,64.88,31.16,511,6
250177886,63.91,33.68,511,6
250132399,61.52,33.13,511,6
250169730,60.19,33.69,511,6
250128377,58.98,33.9,510,6
250130234,69.78,33.46,510,6
250153349,60.83,32.98,509,6
250110734,66.39,32.25,508,6
250139445,66.07,32.95,506,6
250005343,62.39,29.45,504,6
250103758,53.96,36.57,501,6
250042780,29.6,26.4,501,6
250113211,59.46,32.52,495,6
250101284,57.11,35.23,495,6
250106709,56.99,32.09,495,6
250134304,59.56,34.39,494,6
250112978,62.78,32.04,494,6
250169706,62.81,35.39,492,6
250124460,60.78,33.24,490,6
250064252,60.78,31.17,488,6
250097909,49.36,31.95,486,6
250134138,56.65,35.27,486,6
250086316,58.54,33.23,482,6
250176453,56.2,31.77,480,6
250002096,53.23,31.78,479,6
250061027,68.29,31.57,479,6
250181680,55.91,34.57,478,6
