,team_id,country,team,logo
0,50138,Italy,FC Internazionale Milano,https://img.uefa.com/imgml/TP/teams/logos/70x70/50138.png
1,50124,Spain,Atlético de Madrid,https://img.uefa.com/imgml/TP/teams/logos/70x70/50124.png
2,50111,Austria,SK Sturm Graz,https://img.uefa.com/imgml/TP/teams/logos/70x70/50111.png
3,52816,Italy,Atalanta BC,https://img.uefa.com/imgml/TP/teams/logos/70x70/52816.png
4,50050,Scotland,Celtic FC,https://img.uefa.com/imgml/TP/teams/logos/70x70/50050.png
5,52969,Italy,Bologna FC 1909,https://img.uefa.com/imgml/TP/teams/logos/70x70/52969.png
6,52797,Slovakia,ŠK Slovan Bratislava,https://img.uefa.com/imgml/TP/teams/logos/70x70/52797.png
7,50147,Portugal,SL Benfica,https://img.uefa.com/imgml/TP/teams/logos/70x70/50147.png
8,2602798,Spain,Girona FC,https://img.uefa.com/imgml/TP/teams/logos/70x70/2602798.png
9,7889,England,Liverpool FC,https://img.uefa.com/imgml/TP/teams/logos/70x70/7889.png
10,2603790,Germany,RB Leipzig,https://img.uefa.com/imgml/TP/teams/logos/70x70/2603790.png
11,50107,Germany,VfB Stuttgart,https://img.uefa.com/imgml/TP/teams/logos/70x70/50107.png
12,50033,Czechia,AC Sparta Praha,https://img.uefa.com/imgml/TP/teams/logos/70x70/50033.png
13,50080,Spain,FC Barcelona,https://img.uefa.com/imgml/TP/teams/logos/70x70/50080.png
14,52683,England,Aston Villa FC,https://img.uefa.com/imgml/TP/teams/logos/70x70/52683.png
15,50023,France,AS Monaco,https://img.uefa.com/imgml/TP/teams/logos/70x70/50023.png
16,50058,Italy,AC Milan,https://img.uefa.com/imgml/TP/teams/logos/70x70/50058.png
17,2601306,France,Stade Brestois 29,https://img.uefa.com/imgml/TP/teams/logos/70x70/2601306.png
18,50031,Switzerland,BSC Young Boys,https://img.uefa.com/imgml/TP/teams/logos/70x70/50031.png
19,50062,Netherlands,PSV Eindhoven,https://img.uefa.com/imgml/TP/teams/logos/70x70/50062.png
20,52747,France,Paris Saint-Germain,https://img.uefa.com/imgml/TP/teams/logos/70x70/52747.png
21,50109,Germany,Bayer 04 Leverkusen,https://img.uefa.com/imgml/TP/teams/logos/70x70/50109.png
22,52707,Ukraine,FC Shakhtar Donetsk,https://img.uefa.com/imgml/TP/teams/logos/70x70/52707.png
23,50051,Spain,Real Madrid C.F.,https://img.uefa.com/imgml/TP/teams/logos/70x70/50051.png
24,50149,Portugal,Sporting Clube de Portugal,https://img.uefa.com/imgml/TP/teams/logos/70x70/50149.png
25,52758,Germany,Borussia Dortmund,https://img.uefa.com/imgml/TP/teams/logos/70x70/52758.png
26,75797,France,LOSC Lille,https://img.uefa.com/imgml/TP/teams/logos/70x70/75797.png
27,50069,Serbia,FK Crvena Zvezda,https://img.uefa.com/imgml/TP/teams/logos/70x70/50069.png
28,50030,Austria,FC Salzburg,https://img.uefa.com/imgml/TP/teams/logos/70x70/50030.png
29,50139,Italy,Juventus,https://img.uefa.com/imgml/TP/teams/logos/70x70/50139.png
30,52749,Netherlands,Feyenoord,https://img.uefa.com/imgml/TP/teams/logos/70x70/52749.png
31,50043,Belgium,Club Brugge KV,https://img.uefa.com/imgml/TP/teams/logos/70x70/50043.png
32,50037,Germany,FC Bayern München,https://img.uefa.com/imgml/TP/teams/logos/70x70/50037.png
33,50164,Croatia,GNK Dinamo,https://img.uefa.com/imgml/TP/teams/logos/70x70/50164.png
34,52919,England,Manchester City,https://img.uefa.com/imgml/TP/teams/logos/70x70/52919.png
35,75797,France,LOSC Lille,https://img.uefa.com/imgml/TP/teams/logos/70x70/75797.png
36,52683,England,Aston Villa FC,https://img.uefa.com/imgml/TP/teams/logos/70x70/52683.png
37,50037,Germany,FC Bayern München,https://img.uefa.com/imgml/TP/teams/logos/70x70/50037.png
38,50124,Spain,Atlético de Madrid,https://img.uefa.com/imgml/TP/teams/logos/70x70/50124.png
39,50147,Portugal,SL Benfica,https://img.uefa.com/imgml/TP/teams/logos/70x70/50147.png
40,2602798,Spain,Girona FC,https://img.uefa.com/imgml/TP/teams/logos/70x70/2602798.png
41,50139,Italy,Juventus,https://img.uefa.com/imgml/TP/teams/logos/70x70/50139.png
42,50043,Belgium,Club Brugge KV,https://img.uefa.com/imgml/TP/teams/logos/70x70/50043.png
43,50069,Serbia,FK Crvena Zvezda,https://img.uefa.com/imgml/TP/teams/logos/70x70/50069.png
44,50058,Italy,AC Milan,https://img.uefa.com/imgml/TP/teams/logos/70x70/50058.png
45,52816,Italy,Atalanta BC,https://img.uefa.com/imgml/TP/teams/logos/70x70/52816.png
46,52707,Ukraine,FC Shakhtar Donetsk,https://img.uefa.com/imgml/TP/teams/logos/70x70/52707.png
47,52749,Netherlands,Feyenoord,https://img.uefa.com/imgml/TP/teams/logos/70x70/52749.png
48,50111,Austria,SK Sturm Graz,https://img.uefa.com/imgml/TP/teams/logos/70x70/50111.png
49,52797,Slovakia,ŠK Slovan Bratislava,https://img.uefa.com/imgml/TP/teams/logos/70x70/52797.png
50,50050,Scotland,Celtic FC,https://img.uefa.com/imgml/TP/teams/logos/70x70/50050.png
51,52919,England,Manchester City,https://img.uefa.com/imgml/TP/teams/logos/70x70/52919.png
52,50030,Austria,FC Salzburg,https://img.uefa.com/imgml/TP/teams/logos/70x70/50030.png
53,50051,Spain,Real Madrid C.F.,https://img.uefa.com/imgml/TP/teams/logos/70x70/50051.png
54,52280,England,Arsenal FC,https://img.uefa.com/imgml/TP/teams/logos/70x70/52280.png
55,50109,Germany,Bayer 04 Leverkusen,https://img.uefa.com/imgml/TP/teams/logos/70x70/50109.png
56,52747,France,Paris Saint-Germain,https://img.uefa.com/imgml/TP/teams/logos/70x70/52747.png
57,2603790,Germany,RB Leipzig,https://img.uefa.com/imgml/TP/teams/logos/70x70/2603790.png
58,52969,Italy,Bologna FC 1909,https://img.uefa.com/imgml/TP/teams/logos/70x70/52969.png
59,50033,Czechia,AC Sparta Praha,https://img.uefa.com/imgml/TP/teams/logos/70x70/50033.png
60,50138,Italy,FC Internazionale Milano,https://img.uefa.com/imgml/TP/teams/logos/70x70/50138.png
61,52758,Germany,Borussia Dortmund,https://img.uefa.com/imgml/TP/teams/logos/70x70/52758.png
62,50023,France,AS Monaco,https://img.uefa.com/imgml/TP/teams/logos/70x70/50023.png
63,50164,Croatia,GNK Dinamo,https://img.uefa.com/imgml/TP/teams/logos/70x70/50164.png
64,50149,Portugal,Sporting Clube de Portugal,https://img.uefa.com/imgml/TP/teams/logos/70x70/50149.png
65,2601306,France,Stade Brestois 29,https://img.uefa.com/imgml/TP/teams/logos/70x70/2601306.png
66,50031,Switzerland,BSC Young Boys,https://img.uefa.com/imgml/TP/teams/logos/70x70/50031.png
67,7889,England,Liverpool FC,https://img.uefa.com/imgml/TP/teams/logos/70x70/7889.png
68,50062,Netherlands,PSV Eindhoven,https://img.uefa.com/imgml/TP/teams/logos/70x70/50062.png
69,50080,Spain,FC Barcelona,https://img.uefa.com/imgml/TP/teams/logos/70x70/50080.png
70,50109,Germany,Bayer 04 Leverkusen,https://img.uefa.com/imgml/TP/teams/logos/70x70/50109.png
71,50062,Netherlands,PSV Eindhoven,https://img.uefa.com/imgml/TP/teams/logos/70x70/50062.png
72,50051,Spain,Real Madrid C.F.,https://img.uefa.com/imgml/TP/teams/logos/70x70/50051.png
73,52747,France,Paris Saint-Germain,https://img.uefa.com/imgml/TP/teams/logos/70x70/52747.png
74,50069,Serbia,FK Crvena Zvezda,https://img.uefa.com/imgml/TP/teams/logos/70x70/50069.png
75,75797,France,LOSC Lille,https://img.uefa.com/imgml/TP/teams/logos/70x70/75797.png
76,52969,Italy,Bologna FC 1909,https://img.uefa.com/imgml/TP/teams/logos/70x70/52969.png
77,50058,Italy,AC Milan,https://img.uefa.com/imgml/TP/teams/logos/70x70/50058.png
78,52280,England,Arsenal FC,https://img.uefa.com/imgml/TP/teams/logos/70x70/52280.png
