id_player,distance_covered(km/h),top_speed,minutes_played,matches_appareance
250016833,55.78,30.35,450,5
250105927,51.61,34.55,450,5
250123677,58.39,33.97,450,5
250121294,57.59,33.67,450,5
250160436,56.6,33.39,450,5
250028211,48.41,32.8,450,5
250092668,50.29,32.74,450,5
250055663,48.77,32.48,450,5
250064188,58.79,29.99,450,5
250106969,56.33,31.57,450,5
250189506,56.32,32.14,450,5
250088061,55.39,36.55,450,5
250121218,47.39,32.66,450,5
50327420,46.97,34.92,450,5
250070417,62.85,32.23,450,5
250096309,54.91,32.29,450,5
250129965,59.13,29.28,450,5
250077679,55.35,33.66,450,5
250004363,54.65,32.41,450,5
250189363,53.52,32.14,450,5
250139207,55.09,32.53,450,5
250127492,53.63,33.02,450,5
250134856,51.41,32.85,450,5
250158901,49.23,30.8,450,5
250136465,49.07,35.36,450,5
250014042,63.62,29.71,450,5
250101557,58.14,31.36,450,5
250025791,58.1,30.17,450,5
250014709,57.21,32.82,450,5
250128120,56.05,35.6,450,5
250123695,55.55,31.3,450,5
250116734,55.23,33.62,450,5
250102868,55.14,32.91,450,5
250079545,54.89,34.27,450,5
250113001,54.69,31.7,450,5
250153945,54.53,33.31,450,5
250055660,54.38,33.8,450,5
250132401,54.19,32.37,450,5
250064064,54.18,33.04,450,5
250064444,54.17,33.81,450,5
250121149,53.34,33.23,450,5
250122983,53.09,34.51,450,5
250087118,52.75,33.46,450,5
250053044,52.36,32.27,450,5
250174126,52.07,33.81,450,5
250188247,51.9,32.9,450,5
250130786,51.33,33.29,450,5
250076126,50.76,34.79,450,5
250127439,50.12,32.79,450,5
250131541,49.16,33.03,450,5
250158476,48.97,32.71,450,5
250000679,48.78,31.76,450,5
250017040,48.11,30.16,450,5
250176201,48.07,31.16,450,5
250016616,47.56,31.92,450,5
250061721,46.69,33.96,450,5
250051754,42.31,32.08,450,5
250171278,31.54,27.59,450,5
250006714,27.08,26.53,450,5
250063980,26.87,26.7,450,5
98078,26.71,23.62,450,5
250105818,26.46,27.01,450,5
250121017,25.93,25.77,450,5
250087102,25.72,23.2,450,5
250012069,25.13,24.14,450,5
250135068,24.47,24.81,450,5
250124006,24.21,22.6,450,5
250105612,24.05,29.6,450,5
74954,23.76,23.24,450,5
250157134,23.63,26.31,450,5
102420,23.21,24.09,450,5
250040573,22.93,27.16,450,5
250113444,22.7,22.68,450,5
250085475,22.26,28.95,450,5
97746,19.84,21.24,450,5
250087938,59.2,32.25,449,5
250172672,57.84,32.28,449,5
250090766,54.59,32.43,449,5
250134536,59.64,31.14,449,5
250112978,56.99,32.04,449,5
250188511,51.91,31.68,449,5
250091013,47.82,33.8,448,5
250065419,57.24,33.18,445,5
250040471,51.63,31.45,444,5
250131901,50.07,33.28,444,5
250023097,60.08,30.59,444,5
250112217,57.68,30.95,444,5
250067630,48.2,35.17,444,5
250079003,57.81,31.21,443,5
250130406,53.78,34.52,442,5
250096954,39.82,35.55,441,5
250119181,59.36,32.68,439,5
104733,43.65,31.89,439,5
250112122,53.08,32.9,434,5
250068808,51.19,31.0,434,5
250181680,50.49,34.57,433,5
250042422,56.03,32.38,431,5
250005343,53.41,29.45,431,5
250134304,51.59,34.39,430,5
250169730,50.97,33,430,5
250153349,49.96,32.98,429,5
250187672,55.61,35.56,429,5
250013022,48.61,34.59,428,5
250101727,52.5,30.95,428,5
250163454,52.83,34.81,428,5
250162325,51.21,34.07,425,5
250130234,58.44,33.46,425,5
250108215,50.39,32.85,424,5
250128377,48.78,32.87,423,5
250052469,46.53,34.54,422,5
250161248,50.52,30.14,422,5
250085751,48.35,32.72,422,5
250118964,53.51,31.16,421,5
250177886,53.04,33.68,421,5
250132399,50.99,33.13,421,5
250085369,46.13,33.28,421,5
250125538,47.23,35.03,421,5
250169706,53.63,35.39,420,5
250196709,55.54,30.55,420,5
250110734,54.37,32.25,418,5
250139445,55.54,32.95,417,5
250113211,49.74,32.52,415,5
250132407,47.24,32.29,414,5
250103758,44.34,36.57,411,5
250042780,24.06,26.4,411,5
250124460,50.26,33.24,409,5
250002096,45.34,31.78,408,5
250056159,51.09,31.65,408,5
250106709,46.53,32.09,405,5
250101284,45.97,35.23,405,5
97923,27.81,24.91,405,5
250112880,49.38,33.74,404,5
250096698,54.46,33.53,404,5
250097909,39.78,31.95,401,5
250153849,55.85,32.44,399,5
250064252,49.99,30.6,398,5
250146674,49.83,32.63,397,5
250134138,45.52,35.27,396,5
250163623,50.13,33.82,395,5
250076574,38.95,35.67,392,5
250086316,48.04,33.23,392,5
250176453,45.44,31.77,390,5
250061027,55.14,30.42,389,5
250102866,41.63,30.13,388,5
250163786,47.95,32.98,387,5
250058258,32.75,33.07,385,5
250167111,46.55,34.36,383,5
250130414,53.78,31.89,382,5
250171055,45.8,34.16,382,5
250196712,42.03,34.34,380,5
250091290,49.71,35.14,379,5
250143693,51.91,31.42,378,5
250118391,44.98,33.29,378,5
250004721,50.95,31.34,378,5
250106148,46.03,35.94,377,5
250046522,48.92,33.71,377,5
250107477,43.69,32.43,376,5
250157930,45.93,34.2,375,5
250112690,34.49,33.48,375,5
250064446,47.5,31.19,374,5
250101534,47.52,32.9,372,5
250112969,52.7,32.37,372,5
250200228,51.74,32.65,372,5
250169764,45.24,33.07,372,5
250113993,44.46,33.37,372,5
250169705,48.74,30.55,370,5
250140940,45.23,32.47,367,5
250027780,44,32.3,366,5
250200308,43.23,33.21,366,5
250113276,43.04,35.38,365,5
250127284,44.41,33.15,365,5
250164991,51.19,31.7,364,5
250089228,38.16,35.59,362,5
250196588,48.78,29.48,362,5
250118504,46.17,33.41,361,5
250019573,41.04,31.59,361,5
250121533,38.56,35.47,360,4
250145803,44.28,36.28,360,4
250063505,41.23,32.63,360,4
250052554,42.09,32.47,360,4
250081553,48.64,31.65,360,4
250188474,48.36,32.62,360,4
250148830,41.55,32.33,360,4
250126449,40.25,33.5,360,4
250117410,39.86,35.05,360,4
250196586,39.75,31.19,360,4
250135672,38.58,32.48,360,4
250124068,29.54,35.09,360,4
