id_player,passing_accuracy(%),passes_attempted,passes_completed,crossing_accuracy(%),crosses_attempted,crosses_completed,free_kick_taken,matches_appearance
250050416,100,19,19,0,0,0,0,1
250138626,100,17,17,0,0,0,0,1
1902445,100,14,14,0,0,0,0,1
250089626,100,13,13,0,0,0,0,2
250175393,100,11,11,50,2,1,0,1
250169763,100,10,10,0,0,0,0,2
250163186,100,9,9,100,1,1,0,3
250190378,100,9,9,0,0,0,0,1
250193442,100,8,8,0,0,0,1,1
250087431,100,5,5,0,0,0,0,1
250161142,100,4,4,100,1,1,0,1
250182794,100,4,4,0,0,0,0,1
250187067,100,3,3,0,2,0,0,1
250199913,100,3,3,0,1,0,1,1
250168996,100,3,3,0,0,0,0,1
250187793,100,3,3,0,0,0,0,1
250138999,100,3,3,0,0,0,0,1
250128391,100,3,3,0,0,0,0,1
250189107,100,3,3,0,0,0,0,1
250154309,100,3,3,0,0,0,0,1
250130771,100,2,2,0,0,0,0,1
250165221,100,2,2,0,0,0,0,1
250054393,100,2,2,0,0,0,0,1
250098468,100,2,2,0,0,0,0,1
250172594,100,2,2,0,0,0,0,1
250133903,100,2,2,0,0,0,0,1
250061589,100,2,2,0,0,0,0,1
250174602,100,1,1,0,0,0,0,1
250090398,100,1,1,0,0,0,0,1
50327428,98.5,123,121,0,0,0,5,2
250086709,98.5,36,35,0,1,0,1,2
250014636,98,61,59,22.23,9,2,4,2
250162325,97.67,245,240,0,0,0,1,3
250200308,97.5,200,194,0,0,0,4,4
250064233,97.5,188,184,0,1,0,1,2
250042329,97.5,50,48,50,2,1,1,2
250196709,97,226,219,0,3,0,13,3
250094540,97,189,183,0,0,0,3,2
250132195,97,95,87,33.34,6,2,0,3
250132322,97,70,66,0,0,0,1,2
250136445,97,30,29,0,0,0,1,1
250122983,96.75,309,298,0,1,0,2,4
250064064,96.67,249,241,0,1,0,7,3
250079545,96.67,217,209,0,0,0,1,3
250114167,96.67,50,48,0,2,0,0,3
250028705,96.5,47,45,0,0,0,0,2
250181428,96.5,17,16,0,1,0,0,2
250139101,96.34,17,16,66.67,3,2,3,3
250127284,96.25,270,260,100,1,1,2,4
250017040,96,206,198,0,0,0,5,3
250121294,96,173,166,0,3,0,6,4
103335,96,138,130,0,0,0,5,3
250112803,96,135,130,0,1,0,5,4
250089225,96,133,127,0,0,0,1,3
250023551,96,119,114,0,0,0,1,2
250089688,96,49,47,0,0,0,1,1
250065413,96,44,41,0,1,0,0,2
250176491,96,24,23,0,0,0,1,1
250055660,95.75,265,254,50,2,1,2,4
250129446,95.75,220,209,0,0,0,5,4
250174126,95.67,275,264,0,0,0,4,3
250176201,95.67,191,182,0,0,0,5,3
250085369,95.5,337,320,0,0,0,4,4
250163777,95.5,161,155,0,1,0,1,2
250089824,95.5,34,32,0,0,0,0,2
250079677,95.34,173,164,0,0,0,4,3
250058220,95.34,145,138,0,0,0,4,3
250200313,95.34,85,81,0,1,0,3,3
250005335,95,237,225,30.77,13,4,3,4
250172907,95,174,165,0,0,0,2,3
250041781,95,168,161,0,1,0,1,2
250117410,95,153,145,0,1,0,3,2
250182606,95,57,54,0,0,0,3,1
250124169,95,44,42,33.34,3,1,0,2
250132810,95,44,42,0,0,0,2,1
250088150,95,35,31,0,0,0,1,3
250143669,95,19,18,0,1,0,1,1
250028211,94.75,242,228,0,0,0,7,4
250128270,94.67,83,79,50,2,1,2,3
250067630,94.5,298,283,0,1,0,7,4
250189506,94.5,252,239,0,0,0,5,4
250121218,94.5,244,232,0,0,0,11,4
102420,94.5,175,166,0,0,0,10,4
250010223,94.34,54,50,33.34,3,1,0,3
250101284,94.25,173,161,0,2,0,7,4
250161248,94,214,200,100,1,1,3,4
250091198,94,156,148,0,0,0,3,3
250066747,94,150,141,66.67,3,2,5,3
250105244,94,137,127,0,1,0,4,4
250164835,94,87,82,0,2,0,1,2
250027008,94,87,82,0,1,0,0,1
250113103,94,79,75,0,0,0,1,3
250091828,94,72,68,33.34,12,4,0,3
250107324,94,18,16,0,2,0,0,3
250127024,94,16,15,0,0,0,0,1
250193534,94,9,8,0,0,0,0,2
250107477,93.67,204,192,0,0,0,5,3
250014709,93.67,201,188,0,3,0,5,3
250128120,93.67,162,151,14.29,7,1,5,3
250101444,93.67,145,136,60,5,3,3,3
250101238,93.67,128,117,0,1,0,2,3
98078,93.67,95,88,0,0,0,5,3
250138653,93.67,72,68,0,2,0,2,3
50327420,93.5,284,265,0,0,0,10,4
250128398,93.5,73,69,0,0,0,6,2
250117511,93.5,46,43,0,0,0,1,2
98023,93.34,115,108,0,1,0,0,3
250169685,93.34,96,90,0,0,0,1,3
250139207,93.25,269,251,50,2,1,1,4
250065301,93.25,209,197,0,7,0,4,4
250106709,93.25,160,151,0,0,0,10,4
250132399,93,225,210,100,1,1,7,4
250063505,93,216,201,0,0,0,4,3
250091013,93,213,198,0,0,0,6,4
250087118,93,162,151,0,0,0,4,3
250129343,93,55,51,33.34,9,3,4,1
250180309,93,30,28,0,1,0,0,1
250196664,93,14,13,0,0,0,0,2
250010259,93,14,13,0,0,0,0,1
250194573,93,13,12,0,0,0,0,2
250164991,92.67,175,161,0,0,0,8,3
