,id_player,player_name,nationality,field_position,position,weight(kg),height(cm),age,id_team,player_image
0,250105927,Viktor Gyökeres,Sweden,Forward,,,,26,50149,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250105927.jpg
1,250121533,Vinícius Júnior,Brazil,Forward,UNKNOWN,,,24,50051,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250121533.jpg
2,250121294,Tijjani Reijnders,Netherlands,Midfielder,CENTRAL_MIDFIELDER,,,26,50058,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250121294.jpg
3,250160436,Maghnes Akliouche,France,Midfielder,UNKNOWN,,,22,50023,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250160436.jpg
4,250028211,Antonio Rüdiger,Germany,Defender,CENTRE_BACK,85.0,190.0,31,50051,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250028211.jpg
5,250123677,Malik Tillman,USA,Midfielder,UNKNOWN,,,22,50062,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250123677.jpg
6,250055663,Thilo Kehrer,Germany,Defender,CENTRAL_MIDFIELDER,72.0,186.0,28,50023,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250055663.jpg
7,250189506,Ryan Flamingo,Netherlands,Defender,,,,21,50062,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250189506.jpg
8,250106969,Miguel Gutiérrez,Spain,Defender,UNKNOWN,,,23,2602798,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250106969.jpg
9,50327420,Virgil van Dijk,Netherlands,Defender,CENTRE_BACK,92.0,193.0,33,7889,https://img.uefa.com/imgml/TP/players/1/2025/324x324/50327420.jpg
10,250004363,Stefan Ristovski,North Macedonia,Defender,FULL_BACK,72.0,180.0,32,50164,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250004363.jpg
11,250139207,Rico Lewis,England,Defender,UNKNOWN,,,19,52919,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250139207.jpg
12,250052554,Josip Mišić,Croatia,Midfielder,CENTRAL_MIDFIELDER,,,30,50164,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250052554.jpg
13,250134856,Nico Schlotterbeck,Germany,Defender,UNKNOWN,,,24,52758,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250134856.jpg
14,250014042,Callum McGregor,Scotland,Midfielder,WINGER,73.0,180.0,31,50050,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250014042.jpg
15,250101557,Morten Hjulmand,Denmark,Midfielder,CENTRAL_MIDFIELDER,,,25,50149,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250101557.jpg
16,250065419,Stefan Posch,Austria,Defender,CENTRE_BACK,,,27,52969,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250065419.jpg
17,250025791,Benjamin André,France,Midfielder,CENTRAL_MIDFIELDER,,,34,75797,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250025791.jpg
18,250163454,Piero Hincapie,Ecuador,Defender,UNKNOWN,,,22,50109,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250163454.jpg
19,250116734,Ladislav Krejčí,Czechia,Defender,WINGER,,,25,2602798,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250116734.jpg
20,250113001,Ryan Gravenberch,Netherlands,Midfielder,CENTRAL_MIDFIELDER,,,22,7889,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250113001.jpg
21,250102868,Jusuf Gazibegović,Bosnia and Herzegovina,Defender,UNKNOWN,,,24,50111,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250102868.jpg
22,250122983,Pierre Kalulu,France,Defender,FULL_BACK,,,24,50139,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250122983.jpg
23,250055660,Jonathan Tah,Germany,Defender,CENTRE_BACK,92.0,192.0,28,50109,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250055660.jpg
24,250121149,Emanuel Aiwu,Austria,Defender,UNKNOWN,,,23,50111,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250121149.jpg
25,250068808,Olivier Boscagli,France,Defender,CENTRE_BACK,68.0,181.0,26,50062,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250068808.jpg
26,250051754,Willi Orbán,Hungary,Defender,CENTRE_BACK,,,32,2603790,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250051754.jpg
27,250188247,Alexsandro,Brazil,Defender,UNKNOWN,,,25,75797,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250188247.jpg
28,250076126,Theo Hernández,France,Defender,FULL_BACK,70.0,184.0,27,50058,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250076126.jpg
29,250131541,Cesar Blackman,Panama,Defender,,,,26,52797,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250131541.jpg
30,250000679,Kévin Théophile-Catherine,France,Defender,FULL_BACK,85.0,183.0,35,50164,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250000679.jpg
31,250061721,Kenan Bajrić,Slovenia,Defender,CENTRE_BACK,,,29,52797,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250061721.jpg
32,250121218,Jhon Lucumi,Colombia,Defender,CENTRE_BACK,,,26,52969,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250121218.jpg
33,102420,Péter Gulácsi,Hungary,Goalkeeper,GOALKEEPER,83.0,190.0,34,2603790,https://img.uefa.com/imgml/TP/players/1/2025/324x324/102420.jpg
34,250124006,Franco Israel,Uruguay,Goalkeeper,UNKNOWN,,,24,50149,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250124006.jpg
35,250135068,Lucas Chevalier,France,Goalkeeper,GOALKEEPER,,,23,75797,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250135068.jpg
36,250123304,Kjell Scherpen,Netherlands,Goalkeeper,GOALKEEPER,,,24,50111,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250123304.jpg
37,250157134,Dominik Takáč,Slovakia,Goalkeeper,,,,25,52797,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250157134.jpg
38,74954,Kasper Schmeichel,Denmark,Goalkeeper,GOALKEEPER,76.0,185.0,38,50050,https://img.uefa.com/imgml/TP/players/1/2025/324x324/74954.jpg
39,250040573,Łukasz Skorupski,Poland,Goalkeeper,UNKNOWN,,187.0,33,52969,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250040573.jpg
40,250085475,Paulo Gazzaniga,Argentina,Goalkeeper,UNKNOWN,,,32,2602798,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250085475.jpg
41,250172672,Alexis Mac Allister,Argentina,Midfielder,UNKNOWN,,,25,7889,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250172672.jpg
42,250091013,Ibrahima Konaté,France,Defender,CENTRE_BACK,,,25,7889,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250091013.jpg
43,250023097,Remo Freuler,Switzerland,Midfielder,CENTRAL_MIDFIELDER,77.0,181.0,32,52969,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250023097.jpg
44,250067630,Fikayo Tomori,England,Defender,CENTRE_BACK,,,26,50058,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250067630.jpg
45,250130406,Johan Bakayoko,Belgium,Forward,UNKNOWN,,,21,50062,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250130406.jpg
46,250096954,Loïs Openda,Belgium,Forward,STRIKER,,,24,2603790,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250096954.jpg
47,104733,Guram Kashia,Georgia,Defender,CENTRE_BACK,78.0,185.0,37,52797,https://img.uefa.com/imgml/TP/players/1/2025/324x324/104733.jpg
48,250112122,Francisco Trincão,Portugal,Forward,STRIKER,,,24,50149,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250112122.jpg
49,250132399,Youssouf Fofana,France,Midfielder,UNKNOWN,,,25,50058,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250132399.jpg
50,250169706,Daizen Maeda,Japan,Forward,UNKNOWN,,,27,50050,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250169706.jpg
51,250118504,Edon Zhegrova,Kosovo,Midfielder,WINGER,,,25,75797,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250118504.jpg
52,250181680,Alistair Johnston,Canada,Defender,UNKNOWN,,,26,50050,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250181680.jpg
53,250098471,Marko Tolić,Croatia,Midfielder,ATTACKING_MIDFIELDER,,,28,52797,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250098471.jpg
54,250139445,Florian Wirtz,Germany,Midfielder,WINGER,,,21,50109,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250139445.jpg
55,250042422,Alejandro Grimaldo,Spain,Defender,FULL_BACK,64.0,170.0,29,50109,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250042422.jpg
56,250005343,Luuk De Jong,Netherlands,Forward,STRIKER,80.0,188.0,34,50062,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250005343.jpg
57,250137390,Zeno Debast,Belgium,Defender,,,,21,50149,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250137390.jpg
58,250169730,Vanderson,Brazil,Defender,UNKNOWN,,,23,50023,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250169730.jpg
59,250013022,Tigran Barseghyan,Armenia,Midfielder,STRIKER,,,31,52797,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250013022.jpg
60,250130234,William Bøving,Denmark,Midfielder,WINGER,,,21,50111,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250130234.jpg
61,250125538,Dan Ndoye,Switzerland,Forward,WINGER,,,24,52969,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250125538.jpg
62,250108215,David Strelec,Slovakia,Forward,STRIKER,,,23,52797,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250108215.jpg
63,250128377,Jude Bellingham,England,Midfielder,,,,21,50051,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250128377.jpg
64,250052469,Mohamed Salah,Egypt,Forward,WINGER,72.0,175.0,32,7889,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250052469.jpg
65,250046522,Julian Brandt,Germany,Midfielder,WINGER,82.0,176.0,28,52758,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250046522.jpg
66,250161248,Sam Beukema,Netherlands,Defender,UNKNOWN,,,25,52969,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250161248.jpg
67,250085369,Manuel Akanji,Switzerland,Defender,UNKNOWN,,187.0,29,52919,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250085369.jpg
68,250096698,Christian Pulišić,USA,Forward,UNKNOWN,69.0,172.0,26,50058,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250096698.jpg
69,250102866,Amadou Haidara,Mali,Midfielder,CENTRAL_MIDFIELDER,,,26,2603790,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250102866.jpg
70,250169764,Matteo Dams,Belgium,Defender,UNKNOWN,,,20,50062,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250169764.jpg
71,250168990,Arnau Martínez,Spain,Defender,,,,21,2602798,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250168990.jpg
72,250130414,Arne Engels,Belgium,Midfielder,WINGER,,,21,50050,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250130414.jpg
73,250103758,Erling Haaland,Norway,Forward,UNKNOWN,,,24,52919,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250103758.jpg
