,id,balls_recovered,tackles,tackles_won,tackles_lost,clearance_attempted
0,250174126,28,4,1,3,8
1,250158476,27,1,1,0,13
2,250089225,26,13,6,7,5
3,250063505,25,6,3,3,18
4,250188247,23,3,0,3,4
5,250160568,22,10,4,6,12
6,250068808,22,7,3,4,9
7,250079677,22,4,3,1,4
8,250188511,22,3,3,0,6
9,250016616,21,5,4,1,16
10,250124068,21,5,1,4,13
11,250121218,21,2,0,2,10
12,250131901,21,1,1,0,15
13,250127492,21,1,0,1,9
14,250025791,20,12,5,7,5
15,250101557,20,6,4,2,4
16,250055663,20,6,1,5,8
17,250000679,20,5,3,2,22
18,250163454,20,4,1,3,9
19,250113001,20,3,1,2,4
20,250076126,20,2,0,2,3
21,250196588,19,6,1,5,5
22,250091013,19,5,1,4,12
23,250139010,19,2,0,2,5
24,250102866,18,9,6,3,8
25,250153945,18,7,2,5,5
26,250079545,18,5,3,2,6
27,250131541,18,4,2,2,7
28,250014709,18,4,2,2,4
29,250132323,18,4,1,3,3
30,250077679,18,3,2,1,8
31,250087118,18,3,2,1,7
32,250085369,18,3,0,3,3
33,250181712,18,1,1,0,7
34,250090766,17,10,7,3,9
35,250121149,17,8,6,2,15
36,250052554,17,8,2,6,3
37,250102868,17,6,3,3,12
38,250169730,17,6,2,4,7
39,250058258,17,6,2,4,4
40,104733,17,4,3,1,18
41,250014042,17,4,2,2,6
42,250171067,17,4,2,2,5
43,250135672,17,3,2,1,12
44,250028715,17,3,1,2,10
45,103335,17,3,1,2,1
46,250135339,17,3,0,3,1
47,250127439,17,2,2,0,9
48,250187221,17,2,0,2,8
49,250172787,17,2,0,2,2
50,250172907,17,1,0,1,10
51,250162325,17,1,0,1,6
52,250132401,17,0,0,0,11
53,250169764,16,13,4,9,5
54,250129965,16,12,4,8,5
55,250145629,16,6,4,2,4
56,250004721,16,6,3,3,4
57,250123677,16,6,2,4,8
58,250092668,16,4,4,0,14
59,250132322,16,4,4,0,7
60,250148830,16,4,2,2,12
61,250132831,16,3,2,1,1
62,250096309,16,3,1,2,8
63,250187672,16,3,1,2,5
