,id,passing_accuracy(%),passes_attempted,passes_completed,crossing_accuracy(%),crosses_attempted,crosses_completed,free_kick_taken,matches_appearance
0,250050416,100,19,19,0,0,0,0,1
1,250138626,100,17,17,0,0,0,0,1
2,250123978,100,15,15,0,0,0,0,1
3,1902445,100,14,14,0,0,0,0,1
4,250089626,100,13,13,0,0,0,0,2
5,250175393,100,11,11,50,2,1,0,1
6,250014636,100,9,9,0,0,0,1,1
7,250190378,100,9,9,0,0,0,0,1
8,250193442,100,8,8,0,0,0,1,1
9,250087967,100,8,8,0,0,0,0,1
10,250163186,100,7,7,100,1,1,0,2
11,250197264,100,7,7,0,0,0,0,1
12,250087431,100,5,5,0,0,0,0,1
13,250161142,100,4,4,100,1,1,0,1
14,250182794,100,4,4,0,0,0,0,1
15,250118912,100,4,4,0,0,0,0,1
16,250187067,100,3,3,0,2,0,0,1
17,250181428,100,3,3,0,0,0,0,1
18,250168996,100,3,3,0,0,0,0,1
19,250187793,100,3,3,0,0,0,0,1
20,250138999,100,3,3,0,0,0,0,1
21,250189107,100,3,3,0,0,0,0,1
22,250154309,100,3,3,0,0,0,0,1
23,250130771,100,2,2,0,0,0,0,1
24,250165221,100,2,2,0,0,0,0,1
25,250054393,100,2,2,0,0,0,0,1
26,250098468,100,2,2,0,0,0,0,1
27,250172594,100,2,2,0,0,0,0,1
28,250169763,100,2,2,0,0,0,0,1
29,250133903,100,2,2,0,0,0,0,1
30,250061589,100,2,2,0,0,0,0,1
31,250172340,100,2,2,0,0,0,0,1
32,250086709,100,2,2,0,0,0,0,1
33,250174602,100,1,1,0,0,0,0,1
34,250135607,100,1,1,0,0,0,0,1
35,250090398,100,1,1,0,0,0,0,1
36,50327428,98.5,123,121,0,0,0,5,2
37,250162325,97.67,245,240,0,0,0,1,3
38,250200308,97.67,102,99,0,0,0,3,3
39,250064233,97.5,188,184,0,1,0,1,2
40,250042329,97.5,50,48,50,2,1,1,2
41,250196709,97,226,219,0,3,0,13,3
42,250122983,97,196,190,0,1,0,2,3
43,250132195,97,95,87,33.34,6,2,0,3
44,250132322,97,70,66,0,0,0,1,2
45,250023551,97,32,31,0,0,0,0,1
46,250136445,97,30,29,0,0,0,1,1
47,250101696,97,20,19,0,0,0,0,2
48,250064064,96.67,249,241,0,1,0,7,3
49,250079545,96.67,217,209,0,0,0,1,3
50,250127284,96.67,185,179,100,1,1,2,3
51,250028705,96.5,47,45,0,0,0,0,2
52,250005335,96.34,226,215,30.77,13,4,3,3
53,250017040,96,206,198,0,0,0,5,3
54,103335,96,138,130,0,0,0,5,3
55,250089225,96,133,127,0,0,0,1,3
56,250197796,96,83,80,0,0,0,3,1
57,250089688,96,49,47,0,0,0,1,1
58,250065413,96,44,41,0,1,0,0,2
59,250176491,96,24,23,0,0,0,1,1
60,250174126,95.67,275,264,0,0,0,4,3
61,250055660,95.67,209,200,50,2,1,1,3
62,250176201,95.67,191,182,0,0,0,5,3
63,250112803,95.67,100,96,0,1,0,5,3
64,250163777,95.5,161,155,0,1,0,1,2
65,250144858,95.5,103,98,0,0,0,2,2
66,250121218,95.34,205,196,0,0,0,3,3
67,250079677,95.34,173,164,0,0,0,4,3
68,250058220,95.34,145,138,0,0,0,4,3
69,250121294,95.34,120,114,0,2,0,4,3
70,250200313,95.34,85,81,0,1,0,3,3
71,250041781,95,168,161,0,1,0,1,2
72,250117410,95,153,145,0,1,0,3,2
73,250094540,95,109,104,0,0,0,1,1
74,250155799,95,80,74,0,0,0,2,2
75,250128270,95,48,46,0,1,0,0,2
76,250124169,95,44,42,33.34,3,1,0,2
77,250132810,95,44,42,0,0,0,2,1
78,250114167,95,41,39,0,2,0,0,2
79,250088150,95,35,31,0,0,0,1,3
80,250087877,95,22,21,0,0,0,2,1
81,250117511,95,22,21,0,0,0,0,1
82,250143669,95,19,18,0,1,0,1,1
83,250153851,95,19,18,0,0,0,0,1
84,250105244,94.67,112,104,0,1,0,3,3
85,250172907,94.5,82,77,0,0,0,0,2
86,250139101,94.5,13,12,66.67,3,2,2,2
87,250085369,94.34,269,253,0,0,0,3,3
88,250163454,94.34,235,221,0,0,0,0,3
89,250129446,94.34,197,186,0,0,0,4,3
90,250010223,94.34,54,50,33.34,3,1,0,3
91,250139207,94,203,191,100,1,1,1,3
92,250065301,94,163,155,0,6,0,3,3
93,250091013,94,162,152,0,0,0,5,3
94,250091198,94,156,148,0,0,0,3,3
95,250189506,94,156,147,0,0,0,5,3
96,250164835,94,87,82,0,2,0,1,2
97,250027008,94,87,82,0,1,0,0,1
98,250113103,94,79,75,0,0,0,1,3
99,250091828,94,72,68,33.34,12,4,0,3
100,250073809,94,31,29,0,0,0,2,1
101,250081555,94,26,24,100,2,2,0,2
102,250107324,94,18,16,0,2,0,0,3
103,250193534,94,9,8,0,0,0,0,2
104,250067630,93.67,261,247,0,1,0,5,3
105,250107477,93.67,204,192,0,0,0,5,3
106,250014709,93.67,201,188,0,3,0,5,3
107,250028211,93.67,189,176,0,0,0,7,3
108,250128120,93.67,162,151,14.29,7,1,5,3
109,250101444,93.67,145,136,60,5,3,3,3
110,250101238,93.67,128,117,0,1,0,2,3
111,98078,93.67,95,88,0,0,0,5,3
112,250128398,93.5,73,69,0,0,0,6,2
113,250066747,93.5,73,68,100,1,1,2,2
114,250068733,93.5,59,55,0,0,0,2,2
115,250055663,93.34,192,180,0,0,0,6,3
116,250076631,93.34,119,112,30.77,13,4,4,3
117,98023,93.34,115,108,0,1,0,0,3
118,250063505,93,216,201,0,0,0,4,3
119,250161248,93,184,171,100,1,1,2,3
120,250087118,93,162,151,0,0,0,4,3
121,250129343,93,55,51,33.34,9,3,4,1
122,250138653,93,51,48,0,2,0,2,2
123,250180309,93,30,28,0,1,0,0,1
124,250067334,93,15,14,100,1,1,0,1
125,250196664,93,14,13,0,0,0,0,2
126,250112117,93,14,13,0,0,0,0,1
127,250010259,93,14,13,0,0,0,0,1
128,250194573,93,13,12,0,0,0,0,2
129,250091841,93,11,10,0,0,0,0,2
130,50327420,92.67,213,197,0,0,0,8,3
131,250164991,92.67,175,161,0,0,0,8,3
132,250132399,92.67,173,161,100,1,1,6,3
133,102420,92.67,142,133,0,0,0,9,3
134,250135672,92.67,140,131,0,0,0,4,3
135,250106709,92.67,116,109,0,0,0,6,3
136,250091290,92.67,76,70,25,4,1,1,3
137,250161141,92.67,64,58,0,0,0,1,3
138,250145803,92.5,138,127,36.37,11,4,0,2
139,250174149,92.5,133,123,0,0,0,3,2
140,250139010,92.5,100,93,0,0,0,0,2
141,250169685,92.5,74,69,0,0,0,0,2
142,250067295,92.5,39,36,0,0,0,2,2
143,250174851,92.5,21,18,0,1,0,0,2
144,250185976,92.5,14,12,0,3,0,0,2
145,250116734,92.34,223,205,0,0,0,7,3
146,250029535,92.34,175,161,41.67,12,5,0,3
147,250136464,92.34,165,153,0,0,0,2,3
148,250188511,92.34,163,151,0,0,0,5,3
149,250101284,92.34,157,145,0,0,0,6,3
150,250132831,92.34,144,135,25,4,1,3,3
151,250169764,92.34,95,89,33.34,3,1,4,3
152,250064232,92,153,139,43.75,16,7,1,3
153,250112978,92,136,125,33.34,3,1,4,3
154,250092517,92,116,107,20,5,1,1,3
155,250112969,92,109,101,0,1,0,2,3
156,250121330,92,66,60,50,2,1,5,2
157,250041771,92,42,39,100,1,1,1,3
158,250146610,92,33,27,0,1,0,0,3
159,250164780,92,12,11,0,0,0,1,1
160,250042422,91.67,161,146,14.29,14,2,4,3
161,250004721,91.67,157,145,0,0,0,0,3
162,250083732,91.67,150,138,0,7,0,2,3
163,250128377,91.67,113,103,100,1,1,2,3
164,250135416,91.67,94,88,20,5,1,1,3
