,id,player_name,nationality,field_position,position,weight(kg),height(cm),age,team_id,minutes_played,matches_appareance,goals,assists,distance_covered(km/h),top_speed,player_image
0,97746,Yann Sommer,Switzerland,Goalkeeper,GOALKEEPER,79.0,183.0,35,50138,270,3,0,0,14.84,21.24,https://img.uefa.com/imgml/TP/players/1/2025/324x324/97746.jpg
1,250012069,Jan Oblak,Slovenia,Goalkeeper,GOALKEEPER,87.0,186.0,31,50124,270,3,0,0,14.78,24.14,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250012069.jpg
2,250123304,Kjell Scherpen,Netherlands,Goalkeeper,GOALKEEPER,,,24,50111,270,3,0,0,14.21,21.83,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250123304.jpg
3,250105612,Marco Carnesecchi,Italy,Goalkeeper,UNKNOWN,,,24,52816,270,3,0,0,14.09,24.16,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250105612.jpg
4,74954,Kasper Schmeichel,Denmark,Goalkeeper,GOALKEEPER,76.0,185.0,37,50050,270,3,0,0,13.87,22.89,https://img.uefa.com/imgml/TP/players/1/2025/324x324/74954.jpg
5,250040573,Łukasz Skorupski,Poland,Goalkeeper,UNKNOWN,,187.0,33,52969,270,3,0,0,13.78,27.16,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250040573.jpg
6,250157134,Dominik Takáč,Slovakia,Goalkeeper,,,,25,52797,270,3,0,0,13.65,23.35,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250157134.jpg
7,250113444,Anatoliy Trubin,Ukraine,Goalkeeper,GOALKEEPER,,,23,50147,270,3,0,0,13.51,22.68,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250113444.jpg
8,250085475,Paulo Gazzaniga,Argentina,Goalkeeper,UNKNOWN,,,32,2602798,270,3,0,0,13.29,23.12,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250085475.jpg
9,250172672,Alexis Mac Allister,Argentina,Midfielder,UNKNOWN,,,25,7889,269,3,1,0,35.01,32.28,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250172672.jpg
